,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
576,2019-05-15,409.14,413.96,405.98,411.58,13291301,54352396754,3538555417735,406.171,55.90422822148211,392.59790912136594,406.171,419.74409087863404,6.683436719329567,0.6992545415176774
577,2019-05-16,410.05,412.48,404.73,405.01,77280383,242973899901,3482241259660,405.666,50.91748325676965,392.7239315409143,405.666,418.6080684590857,6.380652289857027,0.47465629230467116
578,2019-05-17,407.01,410.61,397.42,398.03,31593308,109806997140,3422538026392,404.81899999999996,46.2021792426948,392.21041895375754,404.81899999999996,417.4275810462424,6.229243709530641,0.23077858741197413
579,2019-05-20,399.7,404.18,397.86,401.06,20440081,73095840565,3448356313148,404.5685,48.43458520727276,391.87053437555187,404.5685,417.2664656244481,6.277288332852461,0.3618479485704049
580,2019-05-21,401.8,402.6,396.26,396.37,18763769,53183718812,3408188119666,403.99,45.301069719856706,390.9106513923794,403.99,417.0693486076206,6.475085327666824,0.20870108945791618
581,2019-05-22,399.9,400.74,392.5,394.58,16956530,50708349299,3392657078654,403.15999999999997,44.127653816772835,389.9054098516902,403.15999999999997,416.41459014830974,6.575349810650747,0.17633853993236803
582,2019-05-23,394.99,395.94,388.68,388.89,10537934,37802120068,3343710071505,402.341,40.5334629198114,387.7520563782132,402.341,416.92994362178683,7.252029309360381,0.03900020629620578
583,2019-05-24,386.65,389.02,381.69,384.81,9143001,29622495525,3308575983175,401.30049999999994,38.13492920739358,384.93518487930396,401.30049999999994,417.6658151206959,8.156139910464097,-0.003824701155483606
584,2019-05-27,383.85,385.99,379.54,381.03,6827924,24899762534,3275936415647,400.412,36.00895053817455,381.8218428193927,400.412,419.00215718060724,9.285514510357963,-0.021297367518193167
585,2019-05-28,381.59,399.89,381.37,394.06,24458474,171514202121,3387870264544,400.1395,46.98135654222853,381.34578352348353,400.1395,418.93321647651646,9.393582226456756,0.3382571108913826
586,2019-05-29,393.04,393.75,384.32,384.32,36612782,91720750971,3304161035851,399.35900000000004,41.28295974745374,379.3387703309955,399.35900000000004,419.3792296690046,10.026181790822067,0.12440490821932174
587,2019-05-30,385.33,391.55,374.96,378.54,20398928,116423644109,3254211623939,398.4355,38.31315043736531,376.4586763214132,398.4355,420.4123236785868,11.031559024528091,0.04735269548107595
588,2019-05-31,378.81,384.56,376.37,381.55,7948393,34749610372,3280306102692,397.552,40.70534566930328,374.383930939336,397.552,420.72006906066406,11.655365366374228,0.1546539990428239
589,2019-06-03,381.6,389.68,379.84,389.05,10346674,43062989820,3344593412994,397.2075,46.2939888092356,373.75069299223145,397.2075,420.6643070077685,11.81085805669255,0.3261165725305594
590,2019-06-04,388.32,393.98,387.93,391.39,16055492,71213700961,3364722414255,396.1565,47.94257919105114,373.6543034183392,396.1565,418.65869658166076,11.360256152132186,0.3940881175154986
591,2019-06-05,392.72,402.7,392.67,401.01,12940953,77681308349,3447263441013,395.184,54.17095196856433,375.45723909001504,395.184,414.910760909985,9.983582791805837,0.647667425650479
592,2019-06-07,401.89,402.61,395.34,399.84,10143289,59416032741,3437199793426,394.6445,53.33515463292271,376.08107523516435,394.6445,413.20792476483564,9.407669314958472,0.6399391563199514
593,2019-06-10,400.88,409.3,399.57,409.11,16701869,63579387639,3516746660550,394.8505,58.76380260694546,375.7487917256149,394.8505,413.9522082743851,9.675412985109599,0.873251957237815
594,2019-06-11,413.52,420.37,412.53,418.79,16686551,92686870391,3599806296065,395.8725,63.53432960455829,374.12697275875547,395.8725,417.61802724124453,10.986126715669581,1.026947444082492
595,2019-06-12,418.76,420.01,415.27,415.54,11922671,53665262597,3571983841275,396.228,60.9834361103687,373.46429239337965,396.228,418.99170760662037,11.49020645013495,0.9241839759526588
596,2019-06-13,415.86,417.08,407.61,410.04,12371426,54321658735,3524731702236,396.15099999999995,56.82538098711554,373.5859793707227,396.15099999999995,418.7160206292772,11.392131096110942,0.8077550920112972
597,2019-06-14,410.79,412.01,402.23,402.23,18294759,49734225952,3457742993609,396.012,51.45976958212458,373.6334981734767,396.012,418.3905018265233,11.301931166996601,0.6389279775786948
598,2019-06-17,403.78,411.47,403.34,404.04,13501165,81487625894,3473258551010,396.3125,52.57734024558988,373.6737845991716,396.3125,418.9512154008284,11.424678959572764,0.6706700195479566
599,2019-06-18,404.92,406.08,400.89,401.0,8470994,35180332736,3447190880850,396.3095,50.47534305728699,373.673286116055,396.3095,418.945713883945,11.42350303686639,0.6036061071000653
600,2019-06-19,404.6,404.94,402.28,403.24,6598823,28461642203,3466357115066,396.653,51.998169588558945,373.8159282963051,396.653,419.4900717036949,11.514886666025417,0.6442172640490998
601,2019-06-20,404.5,405.25,398.4,400.13,5641944,30027916343,3439665149264,396.93050000000005,49.71260985294467,374.066067818122,396.93050000000005,419.7949321818781,11.520622467599765,0.5699667495468314
602,2019-06-21,400.83,401.31,395.83,396.93,6340118,27751591078,3412273601592,397.3325,47.403780822100366,374.76690860514174,397.3325,419.8980913948582,11.358542980933223,0.49108155436839807
603,2019-06-24,397.57,398.25,393.7,394.32,10796590,27713026528,3389845610533,397.80800000000005,45.54576904353198,375.9275533866492,397.80800000000005,419.6884466133509,11.000506079993785,0.4202941315221652
604,2019-06-25,394.62,400.19,393.96,394.31,8209309,26417113659,3389769218019,398.472,45.53840430274224,377.901698495168,398.472,419.042301504832,10.3245906888474,0.3988347351393387
605,2019-06-26,395.01,395.36,389.16,389.75,6491182,20723980559,3350613187476,398.2565,42.18835253007055,377.4172809407432,398.2565,419.09571905925685,10.465224828348983,0.2959016608105233
606,2019-06-27,390.83,393.96,389.7,390.68,29919138,59342737585,3346329763049,398.5745,43.10759648203919,378.41255517814085,398.5745,418.73644482185915,10.11702696577887,0.3042227555488361
607,2019-06-28,390.93,395.54,389.28,391.83,14526255,45573277908,3378765755124,399.239,44.287290270266354,380.9753969600823,399.239,417.50260303991763,9.149207887965682,0.2971648862547388
608,2019-07-01,393.61,393.63,388.86,389.83,5801079,18818533754,3361332323778,399.653,42.6316573022833,382.6824571683848,399.653,416.6235428316152,8.492638779949209,0.21058674735788896
609,2019-07-02,390.5,391.75,389.14,391.18,5754657,19554588418,3373026670905,399.7595,44.14941056179866,383.0314523255197,399.7595,416.4875476744803,8.369055731999019,0.24355943482010264
610,2019-07-03,391.09,391.99,386.59,386.92,6237910,19530787001,3336316291607,399.536,40.50753424688307,382.25628310418,399.536,416.81571689582,8.649892323004686,0.13494772292676216
611,2019-07-04,388.68,389.45,380.41,383.02,8207090,24388320853,3302727027722,398.63649999999996,37.46091387469513,379.94229418644125,398.63649999999996,417.33070581355867,9.379073824679232,0.08231710521038849
612,2019-07-05,381.83,384.8,381.69,382.75,4735898,14934394514,3300397503428,397.78200000000004,37.25202454566509,377.86368822415676,397.78200000000004,417.7003117758433,10.014687329161841,0.1226587833053529
613,2019-07-08,382.56,382.95,368.87,369.1,10308740,32267656575,3183169742336,395.7815,28.576427199758914,372.98681090364016,395.7815,418.5761890963598,11.51882495587077,-0.08525694049191569
614,2019-07-09,369.52,379.13,369.04,369.26,11529676,43694031092,3184987275549,393.305,28.785784551249243,370.28619420995693,393.305,416.3238057900431,11.705320700241835,-0.022290344236728987
615,2019-07-10,369.58,373.23,368.91,372.47,4558705,15439635703,3212661906122,391.1515,33.027236922920835,368.80747236396866,391.1515,413.49552763603134,11.424743423472155,0.08195764200822243
616,2019-07-11,373.81,376.34,371.84,376.1,3295311,11820883370,3243991104728,389.4545,37.55644036574786,367.96750907526274,389.4545,410.94149092473725,11.034403723534973,0.1892422013213264
617,2019-07-12,376.52,377.44,374.41,376.26,5449081,17260025083,3245103500280,388.15600000000006,37.75625044840703,366.7755730632023,388.15600000000006,409.53642693679785,11.016409349229582,0.22180162643230708
618,2019-07-15,376.79,378.66,374.8,375.15,3908860,14046473964,3235447271868,386.7115,36.874702474694736,365.92334830246426,386.7115,407.49965169753574,10.751245668947389,0.22192092475997896
619,2019-07-16,375.09,375.84,371.37,371.56,3427676,12063959816,3204517221598,385.2395,34.10146958863292,364.5377740091613,385.2395,405.94122599083875,10.747457615763036,0.16960484343059848
620,2019-07-17,371.7,372.9,364.99,366.04,5009536,13647271358,3156942590710,383.3795,30.324984944171078,362.79689523287254,383.3795,403.96210476712747,10.737457149966268,0.07878266147118193
621,2019-07-18,364.9,370.64,363.41,366.86,6450245,18129535933,3163949801015,381.716,31.53788330318549,361.44193735829475,381.716,401.99006264170526,10.622589905429825,0.1336205460507926
622,2019-07-19,367.88,373.16,367.84,373.16,4218485,14839618480,3218153258785,380.52750000000003,40.15716157741114,361.195263838609,380.52750000000003,399.8597361613911,10.16075640335642,0.3094503931543665
623,2019-07-22,372.96,373.6,369.95,370.95,2369035,8923426044,3199179105568,379.359,38.33393601599596,360.68889351932336,379.359,398.0291064806766,9.842975377242466,0.27480042739169097
624,2019-07-23,371.26,371.49,366.61,367.79,2977850,11266454234,3171920782589,378.033,35.82902730403038,360.04406884776614,378.033,396.0219311522339,9.517122130731376,0.21529714819304274
625,2019-07-24,367.49,370.26,364.08,364.96,3905228,12100457964,3147370788225,376.7935,33.70487686905887,358.7885214940473,376.7935,394.7984785059527,9.556947508888923,0.17138255688315046
626,2019-07-25,366.61,366.61,356.51,358.31,4091265,14836910204,3090074538044,375.175,29.307894136613722,356.6422705733929,375.175,393.7077294266071,9.8795119219602,0.044994166488308895
627,2019-07-26,358.02,358.83,349.43,351.9,4098062,14080526212,3034882708778,373.1785,25.81237950437441,353.6750302830537,373.1785,392.6819697169463,10.45262238684507,-0.045505500016527686
628,2019-07-29,350.77,351.72,336.44,336.89,10174617,25858472668,2905595455707,370.5315,19.843929800807665,346.86136161848947,370.5315,394.2016383815105,12.7763163895704,-0.21063167138639163
629,2019-07-30,335.63,349.35,335.63,343.97,14516014,35753278802,2967586971270,368.171,28.269071225476594,343.80261564650067,368.171,392.5393843534993,13.237536010983659,0.003434457349966278
630,2019-07-31,342.17,346.08,336.45,343.65,6706357,18373548879,2964111951378,366.0075,28.12517894978576,341.00657771701447,366.0075,391.0084222829855,13.661426218307291,0.05286649534494379
631,2019-08-01,341.55,350.04,341.55,343.53,18728469,65714988566,2963293296730,364.033,28.067482995577866,338.4866874676619,364.033,389.5793125323381,14.035163038701494,0.09870920756085494
632,2019-08-02,343.03,349.34,339.79,345.72,10492159,30778105975,2981895163347,362.1815,30.855252192443267,336.9642469576898,362.1815,387.39875304231026,13.925202166488475,0.17360640010273082
633,2019-08-05,345.2,346.62,330.94,330.94,19296746,69288135970,2854916187569,360.2735,24.074183703020363,331.86608668938834,360.2735,388.6809133106117,15.769915528403656,-0.016300088277351167
