Date,DGS10
2023-08-31,4.09
2023-09-01,4.18
2023-09-04,
2023-09-05,4.27
2023-09-06,4.3
2023-09-07,4.27
2023-09-08,4.26
2023-09-11,4.29
2023-09-12,4.27
2023-09-13,4.25
2023-09-14,4.29
2023-09-15,4.33
2023-09-18,4.32
2023-09-19,4.37
2023-09-20,4.35
2023-09-21,4.49
2023-09-22,4.44
2023-09-25,4.55
2023-09-26,4.56
2023-09-27,4.61
2023-09-28,4.59
2023-09-29,4.59
2023-10-02,4.69
2023-10-03,4.81
2023-10-04,4.73
2023-10-05,4.72
2023-10-06,4.78
2023-10-09,
2023-10-10,4.66
2023-10-11,4.58
2023-10-12,4.7
2023-10-13,4.63
2023-10-16,4.71
2023-10-17,4.83
2023-10-18,4.91
2023-10-19,4.98
2023-10-20,4.93
2023-10-23,4.86
2023-10-24,4.83
2023-10-25,4.95
2023-10-26,4.86
2023-10-27,4.84
2023-10-30,4.88
2023-10-31,4.88
2023-11-01,4.77
2023-11-02,4.67
2023-11-03,4.57
2023-11-06,4.67
2023-11-07,4.58
2023-11-08,4.49
2023-11-09,4.62
2023-11-10,4.61
2023-11-13,4.63
2023-11-14,4.44
2023-11-15,4.53
2023-11-16,4.45
2023-11-17,4.44
2023-11-20,4.42
2023-11-21,4.41
2023-11-22,4.42
2023-11-23,
2023-11-24,4.47
2023-11-27,4.39
2023-11-28,4.34
2023-11-29,4.27
2023-11-30,4.37
2023-12-01,4.22
2023-12-04,4.28
2023-12-05,4.18
2023-12-06,4.12
2023-12-07,4.14
2023-12-08,4.23
2023-12-11,4.23
2023-12-12,4.2
2023-12-13,4.04
2023-12-14,3.92
2023-12-15,3.91
2023-12-18,3.95
2023-12-19,3.93
2023-12-20,3.86
2023-12-21,3.89
2023-12-22,3.9
2023-12-25,
2023-12-26,3.89
2023-12-27,3.79
2023-12-28,3.84
2023-12-29,3.88
