Date,DEXUSUK
2023-10-06,1.2255
2023-10-09,
2023-10-10,1.2288
2023-10-11,1.2304
2023-10-12,1.2214
2023-10-13,1.2139
2023-10-16,1.2198
2023-10-17,1.2206
2023-10-18,1.215
2023-10-19,1.2145
2023-10-20,1.2153
2023-10-23,1.2235
2023-10-24,1.217
2023-10-25,1.214
2023-10-26,1.2113
2023-10-27,1.2151
2023-10-30,1.2157
2023-10-31,1.2135
2023-11-01,1.2127
2023-11-02,1.2175
2023-11-03,1.2374
2023-11-06,1.2391
2023-11-07,1.2296
2023-11-08,1.2301
2023-11-09,1.2279
2023-11-10,
2023-11-13,1.2268
2023-11-14,1.2483
2023-11-15,1.2431
2023-11-16,1.2423
2023-11-17,1.243
2023-11-20,1.2505
2023-11-21,1.254
2023-11-22,1.2468
2023-11-23,
2023-11-24,1.2601
2023-11-27,1.2613
2023-11-28,1.2713
2023-11-29,1.269
2023-11-30,1.264
2023-12-01,1.2682
2023-12-04,1.2633
2023-12-05,1.259
2023-12-06,1.2589
2023-12-07,1.2582
2023-12-08,1.2539
2023-12-11,1.255
2023-12-12,1.2549
2023-12-13,1.2527
2023-12-14,1.2767
2023-12-15,1.2709
2023-12-18,1.2632
2023-12-19,1.2751
2023-12-20,1.266
2023-12-21,1.2668
2023-12-22,1.272
2023-12-25,
2023-12-26,1.2709
2023-12-27,1.2797
2023-12-28,1.2743
2023-12-29,1.2743
