,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
100,2020-03-13,12683,14087,12247,13555,39344,-11.387853827547884,20920.1,22.162538976513567,15647.925575723037,20920.1,26192.274424276962,50.40295624090672,-0.19848789202474698
101,2020-03-16,14474,14909,13070,13070,23180,-3.578015492438215,20358.55,21.3400423233907,14310.973081100985,20358.55,26406.12691889901,59.41068414891054,-0.10260085136105299
102,2020-03-17,11908,14329,11908,13361,17718,2.2264728385615915,19828.45,23.182140457143323,13298.220923619901,19828.45,26358.6790763801,65.86726724862608,0.00480680506348323
103,2020-03-18,13941,13941,12199,12199,17578,-8.696953820821793,19245.1,21.061148920399273,12197.8280200066,19245.1,26292.371979993397,73.23705234052719,8.315132413840587e-05
104,2020-03-19,12780,12780,9401,9624,40424,-21.10828756455447,18545.1,17.28670189637607,10646.859540252015,18545.1,26443.340459747982,85.17873141420628,-0.06475236766117984
105,2020-03-20,9681,12489,9643,12490,132890,29.779717373233584,18056.2,31.91257555775369,9932.96420137886,18056.2,26179.43579862114,89.97724658146387,0.15739022367510114
106,2020-03-23,11618,13748,10746,12683,100861,1.545236188951161,17637.45,32.77465115228659,9315.33196490821,17637.45,25959.56803509179,94.36872149989696,0.20233238827491867
107,2020-03-24,13118,16459,13118,16459,31345,29.772135929985023,17371.2,46.93170640769232,9258.674755663313,17371.2,25483.72524433669,93.40201303694262,0.44377829513462513
108,2020-03-25,17427,21300,16604,17330,182900,5.2919375417704595,17126.7,49.56986469158819,9324.641807445934,17126.7,24928.758192554065,91.10988331148516,0.5130286134108831
109,2020-03-26,17862,17862,16555,16943,56575,-2.233121754183497,16906.45,48.41813315337354,9348.609952076255,16906.45,24464.290047923747,89.40777097408085,0.5024180188895397
110,2020-03-27,18637,18831,15055,17040,89389,0.572507820338783,16741.85,48.739618227948554,9347.98348037713,16741.85,24135.716519622867,88.32795084919371,0.5201619815024202
111,2020-03-30,16265,17185,15732,17185,28850,0.8509389671361502,16557.9,49.24882110077015,9404.24611125196,16557.9,23711.553888748043,86.40774359970818,0.5438307478774143
112,2020-03-31,17862,17862,16265,17185,39248,0.0,16366.65,49.248821100770144,9500.583461580787,16366.65,23232.716538419212,83.90313886371631,0.5595938005713247
113,2021-01-04,30885,30885,30546,30788,8311,0.7922477574805211,16814.4,75.60976789661989,7761.233694226094,16814.4,25867.566305773908,107.6834892208334,1.2717520880560844
114,2021-01-05,30788,32046,30546,32047,7897,4.0892555541119915,17322.7,76.81033137495663,6268.348909139893,17322.7,28377.051090860106,127.62850007054449,1.1659956735124082
115,2021-01-06,31272,32530,31272,31466,7529,-1.81296221175149,17833.4,74.97621127215913,5260.646627727083,17833.4,30406.153372272922,141.0023144467451,1.0421485491819313
116,2021-01-07,32530,32530,30981,31175,6841,-0.9248077289773088,18399.75,74.02281105651555,4558.541470756607,18399.75,32240.95852924339,150.44996295322915,0.9614932999892583
117,2021-01-08,31659,33595,31175,31950,15758,2.4859663191659984,19000.0,74.93688270472141,3953.9989100093426,19000.0,34046.001089990656,158.3789588420069,0.9303469048867403
118,2021-01-11,32192,33402,31078,31708,19776,-0.7574334898278561,19677.75,74.06054133426984,3655.8918196889517,19677.75,35699.60818031105,162.84237964514287,0.8754324206534214
119,2021-01-12,32530,32530,31030,31272,6478,-1.3750473066733948,20476.5,72.41739442964577,3827.3238702330964,20476.5,37125.6761297669,162.6174017021161,0.8242052314137885
120,2021-01-13,31127,31901,30981,31321,4708,0.1566896904579176,21364.8,72.49126210814839,4394.886569460643,21364.8,38334.713430539356,158.85862194393914,0.7933485795538192
121,2021-01-14,31707,31707,30981,30982,3380,-1.082340921426519,22260.4,71.07314211904625,5245.496821903453,22260.4,39275.303178096554,152.87149537381674,0.756292965899077
122,2021-01-15,30933,30981,30546,30546,3673,-1.4072687366858176,23119.65,69.19817593842996,6254.180622896973,23119.65,39985.11937710303,145.89727246825126,0.7201643439014568
123,2021-01-18,30013,31611,29868,30256,2895,-0.9493878085510378,24022.5,67.91481552147992,7666.556621521335,24022.5,40378.44337847867,136.17186702864953,0.6905576418234032
124,2021-01-19,31369,31369,30255,30788,2226,1.7583289264939188,25080.7,69.04885715993974,9890.941198754996,25080.7,40270.458801245004,121.12707222083117,0.6878667092308342
125,2021-01-20,31756,31756,30594,31127,5597,1.1010783422112511,26012.55,69.78179290499351,11769.593909707502,26012.55,40255.506090292496,109.50834186031356,0.6795431358342048
126,2021-01-21,31659,31853,30981,31756,5683,2.020753686510104,26966.2,71.14705187501443,13916.82959986191,26966.2,40015.570400138095,96.78316114349143,0.6835260956325261
127,2021-01-22,32337,33257,31756,33160,31806,4.421211739513793,27801.25,73.97363056989578,15428.327340013793,27801.25,40174.17265998621,89.0098298456811,0.7165515031193921
