일자,수익률,대비
2022-11-22,3.844,0.01
2022-11-23,3.84,-0.004
2022-11-24,3.788,-0.052
2022-11-25,3.755,-0.033
2022-11-28,3.748,-0.007
2022-11-29,3.753,0.005
2022-11-30,3.725,-0.028
2022-12-01,3.702,-0.023
2022-12-02,3.678,-0.024
2022-12-05,3.662,-0.016
2022-12-06,3.663,0.001
2022-12-07,3.659,-0.004
2022-12-08,3.662,0.003
2022-12-09,3.656,-0.006
2022-12-12,3.646,-0.01
2022-12-13,3.649,0.003
2022-12-14,3.622,-0.027
2022-12-15,3.64,0.018
2022-12-16,3.659,0.019
2022-12-19,3.691,0.032
2022-12-20,3.768,0.077
2022-12-21,3.751,-0.017
2022-12-22,3.742,-0.009
2022-12-23,3.769,0.027
2022-12-26,3.794,0.025
2022-12-27,3.775,-0.019
2022-12-28,3.767,-0.008
2022-12-29,3.777,0.01
2022-12-30,3.773,-0.004
