rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,ord,currency,thstrm_add_amount,연결구분
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의 재측정손익(세후기타포괄손익),-,제 1 기,-166418901,3,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,토지재평가잉여금(세후기타포괄손익),-,제 1 기,16515700,4,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),-,제 1 기,-1197562204,5,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,ifrs-full_GainsLossesOnCashFlowHedgesNetOfTax,현금흐름위험회피손익(세후기타포괄손익),-,제 1 기,1376895725,6,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이(세후기타포괄손익),-,제 1 기,-2574457929,7,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncome,총포괄손익,-,제 1 기,3145953365,8,KRW,,연결
20200330003444,11011,2019,01412822,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",-,제 1 기,3145953365,10,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,-,제 1 기,20949949722,0,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),-,제 1 기,4493418770,1,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_AdjustmentsForReconcileProfitLoss,조정,-,제 1 기,9121934492,2,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로인한자산ㆍ부채의변동,-,제 1 기,7630706892,3,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),-,제 1 기,381058044,4,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),-,제 1 기,703640160,5,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),-,제 1 기,-26471684,6,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,-,제 1 기,-78878138535,7,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,-표준계정코드 미사용-,투자활동으로 인한 현금유입액;,-,제 1 기,251316700,8,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_DecreaseInLoans,대여금의 감소,-,제 1 기,251316700,9,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,-표준계정코드 미사용-,투자활동으로 인한 현금유출액;,-,제 1 기,-79129455235,10,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_IncreaseInLoans,대여금의 증가,-,제 1 기,185064068,11,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,-,제 1 기,76987396359,12,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,-,제 1 기,1917391208,13,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_PurchaseOfInvestmentProperty,투자부동산의 취득,-,제 1 기,39603600,14,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,-,제 1 기,21633577581,15,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,-표준계정코드 미사용-,재무활동으로 인한 현금유입액;,-,제 1 기,22500052455,16,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_ProceedsFromShortTermBorrowings,단기차입금의 순증가,-,제 1 기,3707518305,17,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,-,제 1 기,18440480188,18,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_ProceedsFromExerciseOfShareOptions,주식선택권행사,-,제 1 기,352053962,19,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,-표준계정코드 미사용-,재무활동으로 인한 현금유출액;,-,제 1 기,-866474874,20,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,금융리스부채의 상환,-,제 1 기,829761631,21,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,dart_AcquisitionOfTreasuryShares,자기주식의 취득,-,제 1 기,36713243,22,KRW,,연결
20200330003444,11011,2019,01412822,CF,현금흐름표,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화환산으로 인한 현금의 변동,-,제 1 기,-1661776702,23,KRW,,연결
