,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
896,2023-03-28,79300,80100,79300,79600,2208,0.2518891687657431,78620.0,59.56233172157947,74337.19717941625,78620.0,82902.80282058375,10.894944850124007,0.6144110575544108
897,2023-03-29,79400,79900,78100,79900,2851,0.3768844221105527,78855.0,60.77168866023828,74841.28600919298,78855.0,82868.71399080702,10.179986027029418,0.6301786826855948
898,2023-03-30,80000,80500,79200,80500,3474,0.7509386733416771,79170.0,63.14564069587869,75717.4067717149,79170.0,82622.5932282851,8.721973546255144,0.6926088467509116
899,2023-03-31,79800,81600,79800,80800,7691,0.3726708074534161,79440.0,64.3086676361799,76387.52559388288,79440.0,82492.47440611712,7.684980881463047,0.7227700905983971
900,2023-04-03,80200,81800,80200,81500,6829,0.8663366336633664,79665.0,66.93097597249596,76703.05806944158,79665.0,82626.94193055842,7.435993047281531,0.8097629938433747
901,2023-04-04,81500,82200,80500,80500,4086,-1.2269938650306749,79845.0,60.133831305714224,77151.69348198165,79845.0,82538.30651801835,6.746337323610364,0.6215977453026641
902,2023-04-05,80700,81700,80600,81300,3352,0.9937888198757764,80030.0,63.341222984078236,77474.14397901601,80030.0,82585.85602098399,6.387244835646614,0.7484490498629606
903,2023-04-06,80900,82200,80700,81900,5662,0.7380073800738007,80225.0,65.57803314445125,77723.90024189356,80225.0,82726.09975810644,6.235212859099891,0.8348526972127103
904,2023-04-07,81500,81700,80900,81200,2163,-0.8547008547008548,80395.0,60.908629128591116,78124.77974636819,80395.0,82665.22025363181,5.647665286726307,0.6772955726899611
905,2023-04-10,80800,80900,80100,80600,1291,-0.7389162561576355,80475.0,57.15221045003515,78296.12414304989,80475.0,82653.87585695011,5.415037855110551,0.5286845162842295
906,2023-04-11,80100,80300,79100,79700,3446,-1.1166253101736971,80550.0,51.974243374773614,78598.07787040566,80550.0,82501.92212959434,4.846485734560751,0.28226590417911523
907,2023-04-12,79700,80000,78600,79100,7463,-0.7528230865746549,80550.0,48.800004961405264,78598.07787040566,80550.0,82501.92212959434,4.846485734560751,0.12857124830554956
908,2023-04-13,79400,81300,79000,80600,15995,1.8963337547408343,80620.0,56.02992173468599,78768.94624605333,80620.0,82471.05375394667,4.592046028148537,0.49459767174309294
909,2023-04-14,80100,81000,80000,80900,5088,0.3722084367245657,80685.0,57.32776848117112,78891.37239093504,80685.0,82478.62760906496,4.446000146408782,0.559934403025855
910,2023-04-17,80200,81900,80200,81800,4737,1.112484548825711,80765.0,61.042779261339724,78922.96308397468,80765.0,82607.03691602532,4.561473202563778,0.7809389950320015
911,2023-04-18,81400,86100,81100,86100,32655,5.256723716381418,80940.0,73.09483272774705,78060.83345393148,80940.0,83819.16654606852,7.114323069109261,1.3960926569263499
912,2023-04-19,86100,86100,84000,85200,4845,-1.0452961672473868,81105.0,68.3300453078934,77695.3225959044,81105.0,84514.6774040956,8.408057219889264,1.1004966914291099
913,2023-04-20,84100,86000,84000,85500,7212,0.352112676056338,81310.0,69.05418476114106,77398.01840495126,81310.0,85221.98159504874,9.622387394044372,1.0355342168919122
914,2023-04-21,83800,84800,82200,83300,5779,-2.5730994152046787,81470.0,58.4919260793035,77507.62697364319,81470.0,85432.37302635681,9.727195351311684,0.7309222261290459
915,2023-04-24,82100,82600,74100,77100,41876,-7.44297719087635,81355.0,39.947596307606894,77041.08066834809,81355.0,85668.91933165191,10.605173207920616,0.0068289793019086055
916,2023-04-25,76500,76500,73800,74300,19734,-3.631647211413749,81090.0,34.61082922483982,75829.99999999999,81090.0,86350.00000000001,12.973239610309568,-0.14543726235741267
917,2023-04-26,74600,76200,73900,75200,9628,1.2113055181695829,80855.0,37.501040208321804,75015.31678941399,80855.0,86694.68321058601,14.4448289174102,0.015812776474862553
918,2023-04-27,75800,75800,75000,75600,1197,0.5319148936170213,80610.0,38.795852272374354,74336.2770223734,80610.0,86883.7229776266,15.565619594657246,0.10071555455455247
919,2023-04-28,75900,75900,74500,75300,2588,-0.3968253968253968,80335.0,38.15735628550839,73650.00934929599,80335.0,87019.99065070401,16.64278496472027,0.12341009411361326
920,2023-05-02,75300,75700,74600,75200,6694,-0.1328021248339973,80020.0,37.93324881008525,72999.0029198126,80020.0,87040.9970801874,17.54810567404999,0.15674391080423672
921,2023-05-03,75000,75200,73500,74500,5068,-0.9308510638297872,79720.0,36.324953283676685,72304.98819960479,79720.0,87135.01180039521,18.602638736566004,0.14801134910386912
922,2023-05-04,74000,74400,73500,73800,3164,-0.9395973154362416,79345.0,34.73879945743864,71539.23930676836,79345.0,87150.76069323164,19.675494847140065,0.1448136051103861
923,2023-05-08,73600,73800,73000,73500,2381,-0.4065040650406504,78925.0,34.05252558527305,70816.2701364517,78925.0,87033.7298635483,20.54793756996719,0.16548398508209322
924,2023-05-09,73500,73500,72000,73200,4837,-0.4081632653061224,78525.0,33.34315362806659,70120.74512523567,78525.0,86929.25487476433,21.405297356929207,0.1831961857802818
925,2023-05-10,73300,73300,72400,72900,2353,-0.4098360655737705,78140.0,32.6115418246122,69450.60416369469,78140.0,86829.39583630531,22.240583148976988,0.1984830649498859
