rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,연결구분
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncome,분기 총포괄손익,-,제 72 기 3분기,-739022556000,,,6,KRW,235961095000,제 71 기 3분기,563470613000,860920322000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,-,제 72 기 3분기,-413215082000,,,8,KRW,138475094000,제 71 기 3분기,299388705000,496737276000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배주주의 소유주,-,제 72 기 3분기,-325807474000,,,9,KRW,97486001000,제 71 기 3분기,264081908000,364183046000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,분기 세후 기타포괄손익,-,제 72 기 3분기,-443823117000,,,10,KRW,71811232000,제 71 기 3분기,206614589000,457525728000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,-,제 72 기 3분기,-353292015000,,,12,KRW,209420616000,제 71 기 3분기,188431003000,463779521000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxCashFlowHedges,파생상품평가손익,-,제 72 기 3분기,2225072000,,,13,KRW,1669790000,제 71 기 3분기,-8186370000,-18299059000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,공동지배기업 및 관계기업 기타포괄손익 등에 대한 지분,-,제 72 기 3분기,-121573607000,,,14,KRW,-53520646000,제 71 기 3분기,27364625000,68702975000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치 측정 지분상품 평가손익,-,제 72 기 3분기,-3968441000,,,16,KRW,-97035070000,제 71 기 3분기,24040635000,20786390000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,-,제 72 기 3분기,-45925000,,,17,KRW,-214228000,제 71 기 3분기,-81661000,232924000,,,연결
20241114002720,11014,2024,00148540,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,공동지배기업 및 관계기업 기타포괄손익 등에 대한 지분,-,제 72 기 3분기,32831799000,,,18,KRW,11490770000,제 71 기 3분기,-24953643000,-77677023000,,,연결
