,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
795,2021-01-04,11700,11700,11450,11550,22415,-2.11864406779661,9971.0,59.932386817798864,6765.885961467189,9971.0,13176.11403853281,64.28871805300994,0.7463250887514148
796,2021-01-05,11500,11850,11450,11550,14869,0.0,9946.0,59.93238681779885,6798.865430268337,9946.0,13093.134569731663,63.2844273020644,0.754834987900877
797,2021-01-06,11500,11700,11500,11650,23166,0.8658008658008658,9913.5,60.58316742969951,6852.014902861668,9913.5,12974.985097138331,61.76396019848352,0.7836041896175099
798,2021-01-07,11600,11750,11550,11600,22784,-0.4291845493562232,9898.5,60.05791739531027,6873.37008543433,9898.5,12923.62991456567,61.12299670789857,0.7812275915502774
799,2021-01-08,11650,11750,11500,11600,27834,0.0,9873.5,60.05791739531027,6914.004941717236,9873.5,12832.995058282764,59.94824648367375,0.7916882721544052
800,2021-01-11,11700,11850,11200,11300,37564,-2.586206896551724,9841.0,56.64076875510725,6960.202193835863,9841.0,12721.797806164137,58.54685105505816,0.7532284627678711
801,2021-01-12,11450,11500,11100,11150,47786,-1.327433628318584,9828.5,54.957041902431676,6972.80901531694,9828.5,12684.19098468306,58.110413281437864,0.7313800770265532
802,2021-01-13,11250,11400,11150,11400,11682,2.242152466367713,9871.0,57.23858162367718,6949.09035047281,9871.0,12792.90964952719,59.20189746787944,0.7616439560763654
803,2021-01-14,11400,11650,11250,11500,11227,0.8771929824561403,9968.5,58.15169288508399,6966.891930980978,9968.5,12970.108069019021,60.221860240136856,0.7551132534269409
804,2021-01-15,11500,11600,11250,11250,12171,-2.1739130434782608,10046.5,54.99027311015632,6997.196636934905,10046.5,13095.803363065095,60.70379461633594,0.6973401555544587
805,2021-01-18,11250,11350,11100,11250,6873,0.0,10126.5,54.99027311015634,7039.285883680871,10126.5,13213.71411631913,60.9729742027182,0.6819601682405403
806,2021-01-19,11250,11400,11150,11250,8840,0.0,10330.0,54.99027311015633,7522.631125056756,10330.0,13137.368874943244,54.353705226393885,0.6638544916935077
807,2021-01-20,11450,11450,11250,11400,9393,1.3333333333333337,10506.0,56.75220483410446,7901.024760194428,10506.0,13110.975239805572,49.59023871702973,0.6715947211971822
808,2021-01-21,11450,11550,11350,11500,12054,0.8771929824561403,10697.0,57.9344371489465,8407.824602613402,10697.0,12986.175397386598,42.8003252759951,0.6753906670752998
809,2021-01-22,11550,11550,11400,11500,7743,0.0,10866.5,57.9344371489465,8887.649070798892,10866.5,12845.350929201108,36.42112785535559,0.660067640935377
810,2021-01-25,11600,11750,11500,11650,21017,1.3043478260869563,11009.0,59.844067027360204,9247.376884801948,11009.0,12770.623115198052,32.003326645436495,0.6819344882767207
811,2021-01-26,11650,11750,11500,11600,15104,-0.4291845493562232,11126.5,58.88447477874746,9545.635995728891,11126.5,12707.364004271109,28.416195645910367,0.6497598777379707
812,2021-01-27,11600,11650,11500,11600,11917,0.0,11240.0,58.88447477874746,9880.97093482145,11240.0,12599.02906517855,24.182011835917272,0.6324474984472472
813,2021-01-28,11550,11600,11250,11350,11310,-2.1551724137931036,11346.5,53.87499904675162,10352.552818304674,11346.5,12340.447181695326,17.51989039254971,0.5017606569365337
814,2021-01-29,11350,11550,10950,11150,33095,-1.762114537444934,11440.0,50.195955981837876,11113.503445653587,11440.0,11766.496554346413,5.707981719342888,0.055891178422192926
